label	query	answer
1	Я все еще не получила диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Не поступил мой диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Так диплом и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Я так диплом и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Диплом я так до сих пор и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить диплом по прошедшему обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как мне получить диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить документы об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Диплом до сих пор не получила	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Удостоверение не получила	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить документ подтверждающий обучение	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Закончил обучение и мне нужен документ	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Прошел обучение, когда мне ждать документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда ждать документа о завершении курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда ждать документа о завершении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Мне нужно, чтобы выслали диплом об окончании курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда вышлют диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда получу документы по уже законченным курсам	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда получу документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Где сейчас находятся мои документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как я самостоятельно могу отслеживать свои документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда я могу получить документы об окончании обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как узнать, что документы по обучениям отправлены	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда придут оригиналы документов по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить документы за курсы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как я могу найти документы и свидетельства об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда оформят документ по итогам обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Прошел обучение, где документ	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда отправят документы об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как мне получить документы об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Нет документов об образовании, что делать	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Прошел обучение, когда мне пришлют оригиналы документов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда будут высланы документы о прохождении курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Куда исчезли мои документы о прохождении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Какие сроки получения документов об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Закончил учиться. Как понять всё ли хорошо с документами	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Мне нужны документы обучения, как их получить	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда вы отправите документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Как получить документы, после окончания обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда будут отправлены документы по пройденным образовательным программам	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Вопрос по поводу получения документов об окончании учебы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Когда будут отправлены документы об прохождении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
1	Просил выслать мне документы по обучению, не пришли	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010
